0: 410,4507
1: 3658,2287,1680,8936
2: 9675,6913
3: 489
4: 3583,3812
5: 9864,435,9196,3258,8929,6874,3612,7360,9655
6: 107,2616,6925,5575,4553
7: 3528,5515,1675
8: 6225,1585
9: 5636,9892,4334,712,7528,8786
10: 6202,1292
11: 4804,5926,9460,3151,1140,751,3734,4742,1308
12: 1655,6228,4555,7429
13: 2665,6066,5821,3433,4375,1170
14: 2804,8752,4011,2678,7574,6217,4423,9126,3599,5314
15: 3753
16: 5169
17: 4387,1085,3457,9293,5156,3484,8180
18: 7518,2341,4340,2288,4041,9198,8831
19: 9578,7020,9561,6544,5931
20: 2267,8349,8086,1490
21: 1797
22: 2622,6917,9772
23: 6305,6253
24: 7669,8670,4120,9065,189,1877,8798,4372,5574,1828
25: 7124,2592,7434,54,4316
26: 2928,8318,1744,4890,9978,3259,2505,6127,2647
27: 8690,9,9814,5311,8006,320,1833,5948,5039
28: 950,3947,9296,1291
29: 7963,1134
30: 2061,2104,7788,9008,2706,4343,8646,9939,6933
31: 8836,3296,5108,6538
32: 7178,8480,7398,1983,4062,3682
33: 5540,345
34: 9076,3771,9642,3609,118,1164,965,3751,1105,515
35: 1161,8424,3900,4563,7954,3511
36: 2168,9356,9441,7745,3982,7750,6670,3120,1546
37: 7063,5805
38: 6736,7652,888,1613,994,6597,5560
39: 4074,3140
40: 8787,7351,2297,6913
41: 4564,7580,4093
42: 7261,9017
43: 829,8857
44: 1529
45: 2725,6659,7957,7887
46: 6571,961,2698,6210
47: 6397
48: 7455,4674,6931,9106,7974
49: 3112,4862,3567
50: 9490
51: 999,5139,937,822,9572,7812,8239,8702,2580
52: 8321
53: 3045,1123
54: 1114,3854,6616,1965,9334,4034,9486,9741,652,1344
55: 9563,9261,8566,5184,4273,3347,5148
56: 4352,6485,2145,4916
57: 5181,1189,153,7509,9225,1639,1201,8809
58: 8289,4346,2171,5719
59: 4003,6055
60: 2585,7180,8901,4957,8667
61: 9087
62: 1698,2201,4334,1892,1754
63: 2547,4463,4617,9910,3451,5618,3336,4326,8281
64: 4115,833,1513,6940,4534,723,58,5465
65: 4292,2648,7240
66: 7008,9190,159,1833,1233,2443,8939,591,6050
67: 9053,2427,7042,2089,686,5051,5975,654,5863,3442
68: 1685,5795,9174,6659
69: 2533,3879,2663,2901,6756,407,2939,5443,6746,4066
70: 2609,1772,6268,635,7712
71: 3270,7542,5729,5001
72: 3653,388,3165,6529
73: 4565,1138,4574,5754,8347,6549
74: 5426,453,1890,4280,2926,9513,4350,627,1777
75: 7120,5664,5140,7150,9933,8380,1895,6312,9447,3115
76: 728,7145,27,8519,8822
77: 5968,7067,1147,5410
78: 5144,2042,4921,8309,5068,6692,5345,6593,4845,9084
79: 3144,6889,6212
80: 9325,4931,6654
81: 6,4979,4701,3444,7044,9503,9940,5280,7619
82: 7245,3502,8376,7753,2781,1390,4650,8446
83: 5492,1531,3849,5086,3681,3263,2415,401,758,4012
84: 1194,7462,6791,9432,3186,6292,8100,6548
85: 2418,91,1747,6966
86: 2882,8487,7612,823
87: 4083,1989,7479,2185,7613,8703,9158,9756,5199
88: 8271,6992,8977,7306,2608,7778,7374,4247
89: 4544,8541,7940,3920
90: 7207,1270,4682,3842,4452
91: 5239,8850,1321,2268,2472,3789
92: 2504,3506,1053,6798,6679,5422,8891
93: 6813,1021,3389,6884,6382,9570,321,9433
94: 7815,97,5764,4893,6390,6866,8819
95: 9884,3614,8000,3596,4472,7141,7957,476,6372
96: 6625,2705,7658,2092,8752,442
97: 9698,9247,445,1376,7023,2224,7565
98: 824,4263,6212
99: 3468,7450,5356,5530,6212,4559
100: 4134,1342,7706,318,8838,854,5734
101: 1125,660,509,4052
102: 334,2497,3909,2069
103: 1875,9241,3572,7620,4199,6044,2750,9927
104: 1877,2684,5097,1772,9482,421,5112,9434,6150,6499
105: 1246,9701,3979,1670
106: 9838,1984,9273,673,5689
107: 7019,6072,1130,8290,5591,208,6883,8032,1730
108: 5935,7533,2507,7136,2886,8549,4426
